Plot ID	Sp Code	TreeGirth1	TreeGirth2	TreeGirth3	TreeGirth4	TreeGirth5
BSP65	NA	23	0	0	0	0
BSP65	NA	24	0	0	0	0
BSP65	NA	25	0	0	0	0
BSP65	NA	25	0	0	0	0
BSP65	NA	25	0	0	0	0
BSP65	NA	25	0	0	0	0
BSP65	NA	25	0	0	0	0
BSP65	NA	25	0	0	0	0
BSP65	NA	25	0	0	0	0
BSP65	NA	25	0	0	0	0
BSP65	NA	26	0	0	0	0
BSP65	NA	26	0	0	0	0
BSP65	NA	26	0	0	0	0
BSP65	NA	27	0	0	0	0
BSP65	NA	28	0	0	0	0
BSP65	NA	28	0	0	0	0
BSP65	NA	29	0	0	0	0
BSP65	NA	29	0	0	0	0
BSP65	NA	29	0	0	0	0
BSP65	NA	30	0	0	0	0
BSP65	NA	30	0	0	0	0
BSP65	NA	30	0	0	0	0
BSP65	NA	30	0	0	0	0
BSP65	NA	30	0	0	0	0
BSP65	NA	32	0	0	0	0
BSP65	NA	33	0	0	0	0
BSP65	NA	33	0	0	0	0
BSP65	NA	34	0	0	0	0
BSP65	NA	35	0	0	0	0
BSP65	NA	35	0	0	0	0
BSP65	NA	35	0	0	0	0
BSP65	NA	35	0	0	0	0
BSP65	NA	35	0	0	0	0
BSP65	NA	38	0	0	0	0
BSP65	NA	38	0	0	0	0
BSP65	NA	38	0	0	0	0
BSP65	NA	45	0	0	0	0
BSP66	NA	19	0	0	0	0
BSP66	NA	57	0	0	0	0
BSP67	NA	15	0	0	0	0
BSP67	NA	15	0	0	0	0
BSP67	NA	16	0	0	0	0
BSP67	NA	18	0	0	0	0
BSP67	NA	18	0	0	0	0
BSP67	NA	18	0	0	0	0
BSP67	NA	19	0	0	0	0
BSP67	NA	20	0	0	0	0
BSP67	NA	21	0	0	0	0
BSP67	NA	21	0	0	0	0
BSP67	NA	24	0	0	0	0
BSP67	NA	24	0	0	0	0
BSP67	NA	31	0	0	0	0
BSP67	NA	32	0	0	0	0
BSP67	NA	39	0	0	0	0
BSP67	NA	50	0	0	0	0
BSP67	NA	52	0	0	0	0
BSP67	NA	55	0	0	0	0
BSP67	NA	68	0	0	0	0
BSP73	NA	12	0	0	0	0
BSP73	NA	15	0	0	0	0
BSP73	NA	23	0	0	0	0
BSP73	NA	53	0	0	0	0
BSP76	NA	92	0	0	0	0
BSP76	NA	205	0	0	0	0
BSP79	NA	12	0	0	0	0
BSP102	Actimala	13	0	0	0	0
BSP102	NA	15	0	0	0	0
BSP102	NA	20	0	0	0	0
BSP102	NA	20	0	0	0	0
BSP102	NA	30	0	0	0	0
BSP102	NA	40	0	0	0	0
BSP102	NA	46	0	0	0	0
BSP102	NA	81	0	0	0	0
BSP102	NA	92	0	0	0	0
BSP102	NA	106	0	0	0	0
BSP104	NA	13	0	0	0	0
BSP104	NA	20	0	0	0	0
BSP104	NA	36	0	0	0	0
BSP104	NA	76	0	0	0	0
BSP104	NA	80	0	0	0	0
BSP104	NA	89	0	0	0	0
BSP104	NA	141	0	0	0	0
BSP26	NA	18	0	0	0	0
BSP26	NA	60	0	0	0	0
BSP26	NA	67	0	0	0	0
BSP27	NA	42	0	0	0	0
BSP5	NA	11	0	0	0	0
BSP67	NA	19	0	0	0	0
BSP67	NA	20	0	0	0	0
BSP69	NA	12	0	0	0	0
BSP69	NA	13	0	0	0	0
BSP69	NA	14	0	0	0	0
BSP69	NA	15	0	0	0	0
BSP69	NA	15	0	0	0	0
BSP69	NA	15	0	0	0	0
BSP69	NA	16	0	0	0	0
BSP69	NA	18	0	0	0	0
BSP69	NA	18	0	0	0	0
BSP69	NA	18	0	0	0	0
BSP69	NA	18	0	0	0	0
BSP69	NA	20	0	0	0	0
BSP69	NA	20	0	0	0	0
BSP69	NA	22	0	0	0	0
BSP69	NA	22	0	0	0	0
BSP69	NA	22	0	0	0	0
BSP69	NA	23	0	0	0	0
BSP69	NA	23	0	0	0	0
BSP69	NA	25	0	0	0	0
BSP69	NA	28	0	0	0	0
BSP69	NA	31	0	0	0	0
BSP69	NA	35	0	0	0	0
BSP69	NA	36	0	0	0	0
BSP69	NA	36	0	0	0	0
BSP69	NA	37	0	0	0	0
BSP69	NA	38	0	0	0	0
BSP69	NA	38	0	0	0	0
BSP69	NA	39	0	0	0	0
BSP69	NA	44	0	0	0	0
BSP69	NA	46	0	0	0	0
BSP69	NA	50	0	0	0	0
BSP69	NA	52	0	0	0	0
BSP69	NA	53	0	0	0	0
BSP69	NA	62	0	0	0	0
BSP69	NA	79	0	0	0	0
BSP69	NA	92	0	0	0	0
BSP69	NA	97	0	0	0	0
BSP70	NA	36	0	0	0	0
BSP71	NA	12	0	0	0	0
BSP71	NA	12	0	0	0	0
BSP71	NA	12	0	0	0	0
BSP71	NA	15	0	0	0	0
BSP71	NA	28	0	0	0	0
BSP71	NA	50	0	0	0	0
BSP72	NA	14	0	0	0	0
BSP72	NA	15	0	0	0	0
BSP72	NA	15	0	0	0	0
BSP72	NA	15	0	0	0	0
BSP72	NA	25	0	0	0	0
BSP72	NA	33	0	0	0	0
BSP73	NA	12	0	0	0	0
BSP73	NA	12	0	0	0	0
BSP73	NA	14	0	0	0	0
BSP73	NA	16	0	0	0	0
BSP73	NA	17	0	0	0	0
BSP73	NA	18	0	0	0	0
BSP73	NA	18	0	0	0	0
BSP73	NA	19	0	0	0	0
BSP73	NA	21	0	0	0	0
BSP73	NA	21	0	0	0	0
BSP73	NA	22	0	0	0	0
BSP73	NA	22	0	0	0	0
BSP73	NA	23	0	0	0	0
BSP73	NA	25	0	0	0	0
BSP73	NA	25	0	0	0	0
BSP73	NA	28	0	0	0	0
BSP73	NA	29	0	0	0	0
BSP73	NA	30	0	0	0	0
BSP73	NA	31	0	0	0	0
BSP73	NA	32	0	0	0	0
BSP73	NA	33	0	0	0	0
BSP73	NA	34	0	0	0	0
BSP73	NA	34	0	0	0	0
BSP73	NA	35	0	0	0	0
BSP73	NA	35	0	0	0	0
BSP73	NA	36	0	0	0	0
BSP73	NA	40	0	0	0	0
BSP73	NA	40	0	0	0	0
BSP73	NA	41	0	0	0	0
BSP73	NA	43	0	0	0	0
BSP73	NA	43	0	0	0	0
BSP73	NA	44	0	0	0	0
BSP73	NA	45	42	0	0	0
BSP73	NA	49	0	0	0	0
BSP73	NA	50	0	0	0	0
BSP73	NA	52	0	0	0	0
BSP73	NA	52	0	0	0	0
BSP73	NA	55	0	0	0	0
