RecordID,RodentSurveyID,RodentSpeciesID,Weight,Recapture
418,23,112,25.7,0
419,23,112,17.9,0
420,23,112,12.2,0
421,23,112,17.5,0
422,23,112,13.6,0
423,23,112,15.4,0
424,23,112,11.2,0
425,23,112,14.8,0
426,23,112,21,0
427,23,112,17.6,0
428,23,112,11.9,0
429,24,112,11.5,0
430,24,112,9.4,0
431,24,112,13.3,0
432,24,112,16.9,0
433,24,115,37.8,0
434,24,112,21.9,0
435,24,112,8.8,0
436,24,112,20.6,0
437,24,112,13.4,0
438,24,125,133.2,0
439,24,112,19.5,0
440,24,112,11.8,0
441,24,112,12.3,0
442,24,112,17.2,0
443,24,112,14.2,0
444,24,117,184,0
445,24,112,13.6,0
446,24,112,17.5,0
447,24,112,17.2,0
448,24,112,14.3,0
449,24,112,14,0
450,24,112,13.2,0
451,24,112,20.5,0
452,24,112,15.2,0
453,23,112,20.5,0
454,23,112,18.9,0
455,23,112,NA,1
456,23,112,NA,1
457,23,112,10.7,0
458,23,112,17.8,0
459,23,112,NA,1
460,23,112,12.1,0
461,23,112,13.7,0
462,23,112,15.7,0
463,23,112,14.6,0
464,23,112,13.5,0
465,23,112,13.9,0
466,23,112,19.2,0
467,23,112,NA,1
468,23,112,21.2,0
469,23,112,13.9,0
470,23,112,10,0
471,23,112,15.7,0
472,23,112,11.2,0
473,23,112,11.3,0
474,23,112,13.8,0
475,23,112,11.4,0
476,23,NA,NA,1
477,23,112,NA,1
478,23,112,NA,1
479,23,112,15.9,0
480,23,112,17.2,0
481,23,112,NA,1
482,23,112,NA,1
483,23,112,16.6,0
484,23,112,16.3,0
485,23,112,NA,1
486,23,112,NA,1
487,23,112,12.1,0
488,23,112,NA,1
489,23,112,16.9,0
490,23,112,NA,1
491,23,112,17.1,0
492,23,112,NA,1
493,23,112,15.6,0
494,23,117,200,0
495,23,112,18.2,0
496,23,112,19.6,0
497,23,112,14.2,0
498,23,112,12.3,0
499,23,112,17.6,0
500,24,112,15.5,0
501,24,112,17.7,0
502,24,112,22.9,0
503,24,112,11.9,0
504,24,112,NA,1
505,24,115,41,0
506,24,112,NA,1
507,24,112,9,0
508,24,112,12.1,0
509,24,112,NA,1
510,24,112,NA,1
511,24,112,13.2,0
512,24,112,13.2,0
513,24,117,NA,1
514,24,112,20.1,0
515,24,112,18.2,0
516,24,112,NA,1
517,24,112,10.3,0
518,24,112,12.6,0
519,24,112,20.2,0
520,24,NA,NA,1
521,24,112,NA,1
522,24,112,15.8,0
523,24,112,19.6,0
524,24,112,NA,1
525,24,112,14.3,0
526,24,115,38.7,0
527,24,112,20,0
528,24,112,14.7,0
529,24,112,21.3,0
530,24,112,18.3,0
531,24,112,NA,1
532,27,110,28.1,0
533,27,119,11.5,0
534,27,112,15.8,0
535,27,110,44.2,0
536,27,119,10.2,0
537,27,115,21.9,0
538,27,110,25.2,0
539,27,119,9.2,0
540,27,115,30.1,0
541,27,111,22.1,0
542,27,112,19.3,0
543,27,111,20.4,0
544,27,115,33.7,0
545,27,110,30.3,0
546,27,111,22.6,0
547,27,110,32.5,0
548,27,112,11.9,0
549,27,111,20,0
550,27,112,19,0
551,27,110,27.2,0
552,27,119,10,0
553,27,115,30.9,0
554,27,112,17.8,0
555,27,112,10.7,0
556,27,111,16.2,0
557,27,110,30.3,0
558,27,112,16.1,0
559,27,112,13.8,0
560,27,110,23.7,0
561,27,115,39.4,0
562,27,119,13.3,0
563,27,112,11.9,0
564,27,111,20.4,0
565,27,112,20.2,0
566,27,112,20.5,0
567,27,110,25.8,0
568,27,112,14.9,0
569,27,110,39.1,0
570,28,115,39.5,0
571,28,115,39.2,0
572,28,112,14.2,0
573,28,117,90,0
574,28,111,10.1,0
575,28,111,12.1,0
576,28,111,12.5,0
577,28,120,13.4,0
578,28,111,11.9,0
579,28,110,26.4,0
580,28,112,10.4,0
581,28,115,38.8,0
582,28,112,12.8,0
583,28,111,15.9,0
584,28,112,11.7,0
585,28,117,177,0
